name,D_deg_unw,D_deg_wm,D_er_unw,D_er_wm,I_real,dataset_type,N,E,mean_degree,is_weighted,lambda2,clustering,modularity,I_deg,I_ER,measured,cat
power-eris1176.mtx,0.12966679144428153,0.12966679144428153,0.1625607557799054,0.1625607557799054,0.03798199236600744,Power,1174.0,8687.0,14.798977853492334,False,0.002991990647033,0.432698292996053,0.7482480480187836,0.12966679144428153,0.1625607557799054,True,Power
road-minnesota.mtx,0.113523632685445,0.113523632685445,0.09846144366684345,0.09846144366684345,4.5643369962091497e-05,Road,2640.0,3302.0,2.5015151515151515,False,0.000844938594403,0.0159722222222222,0.9078298911035692,0.113523632685445,0.09846144366684345,True,Road
rt-twitter-copen.mtx,0.08491758358393724,0.08491758358393724,0.09742595082293583,0.09742595082293583,0.07435826207780093,Retweet,761.0,1029.0,2.704336399474376,False,0.032841954122816,0.0758800102831971,0.7475697484324842,0.08491758358393724,0.09742595082293583,True,Retweet
soc-advogato.edges.cleaned.tsv,0.116908497635751,0.116908497635751,0.16458944472100148,0.16458944472100148,0.0857317890738191,social_networks_repo,5054.0,39374.0,15.581321725366047,False,0.12062399950422,0.2525754349958971,0.343080250970096,0.116908497635751,0.16458944472100148,True,Social
soc-hamsterster.edges.cleaned.tsv,0.12832330135883066,0.12832330135883066,0.1630846149989857,0.1630846149989857,0.07468612545157043,social_networks_repo,2000.0,16097.0,16.097,False,0.1029379477935593,0.5399779368195858,0.4743063161968588,0.12832330135883066,0.1630846149989857,True,Social
soc-wiki-Vote.mtx,0.10895668416375431,0.10895668416375431,0.13083062716641497,0.13083062716641497,0.053410682754215656,Social,889.0,2914.0,6.555680539932508,False,0.0822132363074235,0.1528469473501429,0.5464242864188644,0.10895668416375431,0.13083062716641497,True,Social
soc-wiki-elec.edges.cleaned.tsv,0.10476134768962157,0.10476134768962157,0.17229060430104076,0.17229060430104076,0.08100068542856426,social_networks_repo,7066.0,100727.0,28.510331163317293,False,0.1650488976236594,0.1418390380417944,0.4247643923059218,0.10476134768962157,0.17229060430104076,True,Social
socfb-Caltech36.mtx,0.13638599718816394,0.13638599718816394,0.17390740914082936,0.17390740914082936,0.07403806801733782,Facebook,762.0,16651.0,43.70341207349082,False,0.686378781795241,0.4091173048334612,0.3148612984296043,0.13638599718816394,0.17390740914082936,True,Social
socfb-Dartmouth6.mtx,0.12816109693397362,0.12816109693397362,0.17096360263412247,0.17096360263412247,0.03603048795179321,Facebook,7677.0,304065.0,79.21453692848769,False,0.1973426862529363,0.243599983875615,0.4439492825070291,0.12816109693397362,0.17096360263412247,True,Social
socfb-Duke14.mtx,0.12319837249792127,0.12319837249792127,0.17082954912489554,0.17082954912489554,0.03693399068338427,Facebook,9885.0,506437.0,102.46575619625696,False,0.2250837395651148,0.2455419816050627,0.46988736669836,0.12319837249792127,0.17082954912489554,True,Social
socfb-MIT.mtx,0.12864252292484413,0.12864252292484413,0.17075540188718732,0.17075540188718732,0.07138571265931551,Facebook,6402.0,251230.0,78.48484848484848,False,0.2619883425196989,0.2723599965883864,0.3926653189834256,0.12864252292484413,0.17075540188718732,True,Social
socfb-Mich67.mtx,0.13420653612689712,0.13420653612689712,0.1712459238749291,0.1712459238749291,0.02673034621934887,Facebook,3745.0,81901.0,43.7388518024032,False,0.2588703941128503,0.2818138151719416,0.4097844205167168,0.13420653612689712,0.1712459238749291,True,Social
socfb-Williams40.mtx,0.14494993761108083,0.14494993761108083,0.17464729044333674,0.17464729044333674,0.049080002173740735,Facebook,2788.0,112985.0,81.05093256814921,False,0.3778642597260885,0.2915213979083698,0.4337444014745484,0.14494993761108083,0.17464729044333674,True,Social
tech-WHOIS.mtx,0.1305759731659206,0.1305759731659206,0.16645512341125465,0.16645512341125465,0.07549401696492376,Technological,7476.0,56943.0,15.23354735152488,False,0.144743993535371,0.4889232938661366,0.5797954432239687,0.1305759731659206,0.16645512341125465,True,Technological
tech-routers-rf.mtx,0.11907333367608587,0.11907333367608587,0.15098318895756144,0.15098318895756144,0.07016555530600124,Technological,2113.0,6632.0,6.277330809275911,False,0.0344452500308567,0.2464293753491836,0.6915753421107006,0.11907333367608587,0.15098318895756144,True,Technological
web-EPA.edges,0.11045561823776892,0.11045561823776892,0.12647997193369293,0.12647997193369293,0.09034018270116288,Web,4253.0,8896.0,4.183399952974371,False,0.0654499647153962,0.0713763592666594,0.6387071800518218,0.11045561823776892,0.12647997193369293,True,Web
web-edu.mtx,0.11242358804563654,0.11242358804563654,0.1333845189653578,0.1333845189653578,0.13919921560477652,Web,3031.0,6474.0,4.27185747278126,False,0.0045612992689145,0.5641840121187356,0.9505543740514206,0.11242358804563654,0.1333845189653578,True,Web
web-polblogs.mtx,0.10057234482907841,0.10057234482907841,0.13753094234047036,0.13753094234047036,0.059215875682723886,Web,643.0,2280.0,7.091757387247278,False,0.1059425181692375,0.2320161939769754,0.5274562365343182,0.10057234482907841,0.13753094234047036,True,Web
web-spam.mtx,0.12502781968109017,0.12502781968109017,0.1638771108528244,0.1638771108528244,0.058389870622128276,Web,4767.0,37375.0,15.680721627858192,False,0.0669630833714663,0.2859785223864208,0.5031519858614557,0.12502781968109017,0.1638771108528244,True,Web
eco-florida.edges,0.14821423101236422,0.14821423101236422,0.1740297740553628,0.1740297740553628,0.07127922467565449,Ecology,128.0,2075.0,32.421875,False,,,,0.14821423101236422,0.1740297740553628,True,Ecology
